question,answer
How many Level 3 credits do I need to take EEX5270 Information Security?,"To register for EEX5270 Information Security, you need at least 24 credits completed at Level 3. This ensures that you have covered sufficient preliminary coursework to handle the content in EEX5270."
Can I take EEX4435 Data Structures and Algorithms without completing Level 3 credits?,"No, to be eligible for EEX4435, you must have completed 8 credits at Level 3 and be eligible for EEX3417 and AGM3203."
What are the prerequisites for EEX4351 Electronics II?,"To take EEX4351, you must be eligible for EEX3410 and EEX3351 and have completed 8 credits at Level 3."
Do I need to pass MHZ3551 before taking MHZ5355 Discrete Mathematics?,"Yes, you must pass MHZ3551 to take MHZ5355 Discrete Mathematics."
Can I register for EEX4347 Software Engineering Concepts without Level 3 credits?,"No, to be eligible for EEX4347, you must be eligible for EEX3417 and AGM3203, and have completed 8 credits at Level 3."
What does 'CA' mean in course prerequisites?,'CA' means you must be eligible to take the course. This usually includes meeting prerequisite subjects and/or credit requirements.
Can I take EEX4436 Microprocessors and Interfacing if I passed DMX3304?,"Yes, you may take EEX4436 if you have passed DMX3304, and are eligible for EEX3417 and have 12 credits completed at Level 3."
What are the eligibility requirements for EEX5335 Operating Systems?,"You must be eligible for EEX4435 and EEX4436, have passed 24 credits at Level 3, and be eligible for 15 credits at Level 4."
Can I take MHZ5554 Engineering Mathematics IV without passing MHZ4553?,"No, you must be eligible for MHZ4553 and have passed MHZ3551 and MHZ3552 to take MHZ5554."
What do I need to be eligible for EEX6236 Advanced Computer Architecture?,"To take EEX6236, you need to pass EEX4436, and be eligible for EEX5335 and EEX5536, along with 45 passed credits at Levels 3 and 4, and 15 eligible credits at Level 5."
Do I need to complete 45 credits to take DMM6601 Management for Engineers?,"Yes, you need to have passed 45 credits in X category courses at Levels 3 and 4, and be eligible for 15 credits in X category at Level 5."
Can I register for EEY4181 Group Project if I haven't completed 24 credits at Level 3?,"No, you must have passed at least 24 credits at Level 3 to register for EEY4181 Group Project."
What are the credit requirements to take EEX7244 Data Mining?,"You must pass EEX3266 and EEX3417, and be eligible for EEX4366. You also need 45 credits passed at Levels 3 and 4, and 15 credits eligible at Level 5."
Can I take EEX6181 Research Methodology and Project Identification if I haven't passed 45 credits?,"No, you must pass 45 credits at Levels 3 and 4, and be eligible for 15 credits at Level 5, along with passing EEX4435, and registering for EEX5335 and EEX5536."
Can I take EEX6181 Research Methodology and Project Identification if I haven't passed 45 credits?,"No, you must pass 45 credits at Levels 3 and 4, and be eligible for 15 credits at Level 5, along with passing EEX4435, and registering for EEX5335 and EEX5536."
Do I need to pass MHZ3551 before taking MHZ4553 Engineering Mathematics III?,"Yes, you must be eligible for MHZ3551 and MHZ3552 before taking MHZ4553 Engineering Mathematics III."
What does the 4th character in a course code represent?,"The 4th character in a course code represents the level of the course, such as Level 3, 4, 5, etc."
What does the 5th character in a course code represent?,The 5th character in a course code represents the credit amount for the course.
What is required to take EEX5360 Signals and Systems?,"You must pass EEX3351, be registered for MHZ4553, and have passed 24 credits at Level 3."
How do I become eligible for EEW6801 Industrial Training?,"To take EEW6801, you must pass EEX3417, EEX4435, EEX4347, and be registered for EEX5335 and EEX5536, and have 45 credits passed at Levels 3 and 4, with 15 registered credits at Level 5."
Can I take EEX7340 AI Techniques & Agent Technology if I haven't passed MHZ3551?,"No, you need to pass both EEX3417 and MHZ3551, and have 45 credits passed at Levels 3 and 4 to take EEX7340."
What makes me eligible to take EEY4181?,"To be eligible for EEY4181, you must fulfill the listed prerequisites, which may include passing certain subjects and earning specific credits at earlier levels."
What level is MHZ4553 and what does that imply?,"MHZ4553 is a Level 4 course. You need to meet eligibility criteria for that level, including credit and subject completion."
What does it mean if MHZ5355 lists 'CR' or 'CA' as a prerequisite?,"'CR' means you must register for the course, and 'CA' means you must be eligible to take it, often based on prior coursework and credits."
What are the progression requirements to move on to courses like EEX6236?,You need to fulfill credit requirements and pass relevant prerequisite courses to progress to subjects like EEX6236.
What does it mean if DMM6601 lists 'CR' or 'CA' as a prerequisite?,"'CR' means you must register for the course, and 'CA' means you must be eligible to take it, often based on prior coursework and credits."
What makes me eligible to take MHZ4553?,"To be eligible for MHZ4553, you must fulfill the listed prerequisites, which may include passing certain subjects and earning specific credits at earlier levels."
What subjects do I need before I can take EEX5270?,You need to complete certain prerequisite subjects before registering for EEX5270. Check the course guide for specific courses and credit requirements.
What makes me eligible to take EEX4436?,"To be eligible for EEX4436, you must fulfill the listed prerequisites, which may include passing certain subjects and earning specific credits at earlier levels."
What does it mean if EEX5270 lists 'CR' or 'CA' as a prerequisite?,"'CR' means you must register for the course, and 'CA' means you must be eligible to take it, often based on prior coursework and credits."
Can I register for EEX7340 if I haven't passed all Level 3 subjects?,"Usually, you need to pass or be eligible for certain Level 3 subjects before registering for EEX7340. Always verify specific prerequisites."
What level is DMM6601 and what does that imply?,"DMM6601 is a Level 6 course. You need to meet eligibility criteria for that level, including credit and subject completion."
What are the progression requirements to move on to courses like EEX5270?,You need to fulfill credit requirements and pass relevant prerequisite courses to progress to subjects like EEX5270.
Can I register for MHZ5554 if I haven't passed all Level 3 subjects?,"Usually, you need to pass or be eligible for certain Level 3 subjects before registering for MHZ5554. Always verify specific prerequisites."
